Date : 30-Dec-2019,,,,,,
Pramod Yadav,,,,,,
"1000000 ,",,,,,,
"Amsterdam, Netherlands,1111AZ",,,,,,
Dear Pramod,,,,,,
Please find enclosed details of the calls made using Lycamobile number 31687777777 Your bill period December 2019,,,,,,
"We hope this information is helpful; should you require any further details, please do not hesitate to email us at cs@lycamobile.be",,,,,,
We thank you for your custom. Enjoy calling the world for less with Lycamobile.,,,,,,
"Yours sincerely,",,,,,,
,,,,,,
Keith Colburn,,,,,,
Head of Global Customer Operations,,,,,,
Name : Pramod Yadav,,,,,,
Mobile Number : 31687777777,,,,,,
Billing History,,,,,,
Call Type,Customer number,Dailled number,Date,Time,CallDuration,Cost
DATA,31687777777,NA,12/01/2019,10:21:20,729.69 KB,0.00
VOICE,31687777777,31687777888,12/01/2019,12:26:05,0:00:02,0.00
VOICE,31687777777,31687777222,12/01/2019,12:32:10,0:00:00,0.00
DATA,31687777777,NA,12/01/2019,12:32:21,0 bytes,0.00
VOICE,31687777777,31687777222,12/01/2019,12:32:47,0:00:00,0.00
VOICE,31687777777,31687777222,12/01/2019,12:33:21,0:00:00,0.00
DATA,31687777777,NA,12/01/2019,12:33:49,1.72 KB,0.00
VOICE,31687777777,31687777222,12/01/2019,12:34:55,0:01:25,0.00
DATA,31687777777,NA,12/01/2019,12:35:49,0 bytes,0.00
VOICE,31687777777,31687777111,12/01/2019,12:45:35,0:00:00,0.00
DATA,31687777777,NA,12/01/2019,12:45:52,0 bytes,0.00
DATA,31687777777,NA,12/01/2019,12:47:11,9.58 MB,0.00
DATA,31687777777,NA,12/01/2019,15:06:36,18.68 MB,0.00
DATA,31687777777,NA,12/01/2019,15:55:22,40.00 MB,0.00
DATA,31687777777,NA,12/01/2019,16:55:40,16.83 MB,0.00
VOICE,31687777777,31687777222,12/01/2019,18:13:57,0:00:00,0.00
DATA,31687777777,NA,12/01/2019,18:14:07,184 bytes,0.00
Call Type,Customer number,Dailled number,Date,Time,CallDuration,Cost
VOICE,31687777777,31687777222,12/01/2019,18:15:03,0:01:28,0.00
DATA,31687777777,NA,12/01/2019,18:16:31,0 bytes,0.00
VOICE,31687777777,31687777222,12/01/2019,18:17:07,0:39:39,0.00
DATA,31687777777,NA,12/01/2019,18:17:15,1007 bytes,0.00
DATA,31687777777,NA,12/01/2019,18:32:29,0 bytes,0.00
DATA,31687777777,NA,12/01/2019,18:37:36,0 bytes,0.00
DATA,31687777777,NA,12/01/2019,18:42:51,0 bytes,0.00
DATA,31687777777,NA,12/01/2019,18:47:58,0 bytes,0.00
DATA,31687777777,NA,12/01/2019,18:56:48,57.07 KB,0.00
DATA,31687777777,NA,12/01/2019,19:35:14,497.56 KB,0.00
VOICE,31687777777,31687777333,12/01/2019,19:35:18,0:04:12,0.00
DATA,31687777777,NA,12/01/2019,20:18:29,250.26 KB,0.00
VOICE,31687777777,31687777333,12/01/2019,20:18:36,0:04:44,0.00
DATA,31687777777,NA,12/02/2019,8:20:39,40.00 MB,0.00
DATA,31687777777,NA,12/02/2019,9:03:25,40.00 MB,0.00
DATA,31687777777,NA,12/02/2019,9:16:39,40.00 MB,0.00
DATA,31687777777,NA,12/02/2019,9:30:06,40.00 MB,0.00
VOICE,31687777777,31687777444,12/02/2019,13:18:52,0:00:00,0.00
DATA,31687777777,NA,12/02/2019,13:33:43,21.31 MB,0.00
DATA,31687777777,NA,12/02/2019,16:03:24,13.03 KB,0.00
DATA,31687777777,NA,12/02/2019,16:18:59,40.00 MB,0.00
VOICE,31687777777,31687777444,12/02/2019,17:54:46,0:13:06,0.00
DATA,31687777777,NA,12/02/2019,18:37:16,40.00 MB,0.00
DATA,31687777777,NA,12/02/2019,18:56:14,40.00 MB,0.00
,,,,,,
Call Type,Customer number,Dailled number,Date,Time,CallDuration,Cost
DATA,31687777777,NA,12/02/2019,20:51:54,40.00 MB,0.00
DATA,31687777777,NA,12/02/2019,20:58:10,40.00 MB,0.00
DATA,31687777777,NA,12/02/2019,20:59:08,40.00 MB,0.00
DATA,31687777777,NA,12/02/2019,22:54:19,15.25 MB,0.00
DATA,31687777777,NA,12/02/2019,23:40:41,2.48 MB,0.00
DATA,31687777777,NA,12/03/2019,8:10:58,40.00 MB,0.00
DATA,31687777777,NA,12/03/2019,8:53:36,40.00 MB,0.00
VOICE,31687777777,31687777555,12/03/2019,8:59:48,0:07:31,0.00
DATA,31687777777,NA,12/03/2019,9:15:31,40.00 MB,0.00
DATA,31687777777,NA,12/03/2019,9:34:10,24.99 MB,0.00
DATA,31687777777,NA,12/03/2019,17:52:59,20.98 KB,0.00
VOICE,31687777777,31687777444,12/03/2019,17:57:31,0:00:00,0.00
DATA,31687777777,NA,12/03/2019,17:57:38,39.39 MB,0.00
DATA,31687777777,NA,12/04/2019,8:20:58,40.00 MB,0.00
DATA,31687777777,NA,12/04/2019,9:01:03,40.00 MB,0.00
DATA,31687777777,NA,12/04/2019,9:11:57,40.00 MB,0.00
DATA,31687777777,NA,12/04/2019,9:24:50,40.00 MB,0.00
DATA,31687777777,NA,12/04/2019,9:42:33,21.44 MB,0.00
VOICE,31687777777,31687777999,12/04/2019,9:43:05,0:00:03,0.00
DATA,31687777777,NA,12/04/2019,9:54:02,0 bytes,0.00
DATA,31687777777,NA,12/04/2019,10:02:59,135.19 KB,0.00
DATA,31687777777,NA,12/04/2019,13:29:10,1.05 KB,0.00
VOICE,31687777777,31687777444,12/04/2019,13:33:11,0:00:24,0.00
DATA,31687777777,NA,12/04/2019,13:33:36,419 bytes,0.00
